股票代號,代號,名稱,掛牌最高,掛牌最低,資金用途,掛牌日期,資金用途分類
1101,11011,台泥一永,108.1,94.4,轉投資海外子公司 TCC Dutch131.6億，償還銀行借款61.54億，共計193.15億,2024/12/10,償還銀行借款
1210,12101,大成一,127,72.5,,2007/9/11,
1216,12161,統一一,106.75,91.2,,2007/10/15,
1217,12171,愛之味一,123,100,,2011/5/1,
1217,12172,愛之味二,112,89,,2011/5/12,
1217,12173,愛之味三,105,99.6,償還銀行借款6億，充實營運資金3億，購置設備1億,2013/3/7,償還+充實
1218,12181,泰山一,109.9,99,償還銀行借款5億,2013/5/23,償還銀行借款
1225,12251,福脂一,233,101,,2009/12/11,
1258,12581,其祥一KY,124.25,99.1,,2015/9/15,
1258,12582,其祥二KY,101.3,76.2,,2018/9/10,
1312,13121,國喬一    ,171,90,,,
1316,13161,上曜一,122,99.65,償還銀行借款0.8億，購置機器設備1億，充實營運資金1.2億,2011/8/2,償還+充實
1316,13162,上曜二,177,104,現金增資3億，上曜二募得2億，充實營運資金5億,2014/12/23,充實營運資金
1316,13163,上曜三,117.95,99.6,充實營運資金13億,2018/11/7,充實營運資金
1316,13164,上曜四,189,101.5,充實營運資金7.04億，償還銀行借款1億，與上曜五同時發行,2021/1/29,償還+充實
1316,13165,上曜五,232,99.6,充實營運資金7.04億，償還銀行借款1億，與上曜四同時發行,2021/2/1,償還+充實
1316,13166,上曜六,125.5,102.8,充實營運資金共計11.8億，CB6發行4000張，現增65000張，認購價12元,2024/12/27,充實營運資金
1319,13191,東陽一,115,95.4,,2010/12/24,
1336,13361,台翰一,116,101.1,償還銀行借款及商業本票2.74億，充實營運資金0.77億,2014/9/10,償還+充實
1337,13371,再生一,120.5,82.95,現金增資13.69億，再生一KY募得6億，擴廠18.83億，購買機器設備11.63億,2012/10/11,資本支出
1338,13381,廣華一KY,117,97.1,償還銀行借款4.95億及充實營運資金1.05億，共計6億元。,2021/1/19,償還+充實
1338,13382,廣華二KY,115.5,93.05,償還第一次轉換公司債6.09億,2023/12/1,借新還舊
1341,13411,富林一KY,116.9,100.8,現金增資0.5億，1000張/50元，富林一募得1.72億，充實營運資金2.22億,2021/5/13,充實營運資金
1342,13421,八貫一,243,106.5,充實營運資金2.25億,2022/6/2,充實營運資金
1409,14093,新纖三,180,77,,2007/4/17,
1432,14321,大魯閣一,119,100.5,轉投資大魯閣開發股分有限公司5億，與大魯閣二同時發行,2015/2/12,轉投資
1432,14322,大魯閣二,119.1,92.3,轉投資大魯閣開發股分有限公司5億，與大魯閣一同時發行,2015/2/13,轉投資
1436,14361,華友聯一,695,106,償還銀行借款3.78億,2020/1/17,償還銀行借款
1436,14362,華友聯二,600,111.1,償還銀行借款10.14億,2020/12/1,償還銀行借款
1436,14363,華友聯三,124.25,93.6,償還銀行借款6億,2024/8/27,償還銀行借款
1436,14364,華友聯四,104.95,92.5,償還銀行借款20.2億，發行CB4共20000張，詢圈101元,2025/3/18,借新還舊
1437,14371,勤益一,266,92,,,
1438,14381,三地開發一,134,119,償還銀行借款7.64億，支付營建工程款-艾美新時代(台南市平實段)24.84億，支付營建工程款-艾美‧柏(高雄市後港東段)9.87億。,2024/12/19,償還銀行借款
1442,14422,名軒二,165,105.55,償還銀行借款8億,2012/8/1,償還銀行借款
1442,14423,名軒三,188,105,償還銀行借款6.26億,2015/12/1,償還銀行借款
1457,14571,宜進一,109.8,90,現金增資4.5億，宜進一募得3億，購置土地、廠房及生產設備21.67億,2011/6/30,資本支出
1464,14641,得力一,172,107,償還銀行借款4.5億，與得力二同時發行,2015/5/20,償還銀行借款
1464,14642,得力二,177,103,償還銀行借款4.5億，與得力一同時發行,2015/5/21,償還銀行借款
1466,14661,聚隆一,127,98,機器設備及增設附屬工程1.09億，償還銀行借款1.9億,2011/5/30,償還銀行借款
1466,14662,聚隆二,147.5,102.75,償還銀行借款3億,2013/1/14,償還銀行借款
1466,14663,聚隆三,109,98,現金增資1億，5000張/20元，聚隆三募得4億，償還銀行借款3億，轉投資子公司2億,2014/9/24,償還銀行借款
1467,14671,南緯一,142.2,101.5,,,
1472,14721,三洋實業一,124.5,99.1,償還銀行借款3.72億,2019/1/30,償還銀行借款
1474,14741,弘裕一,125,100,,,
1474,14742,弘裕二,117,96,購置機器設備1.06億，償還銀行借款2.21億,2022/1/26,償還銀行借款
1474,14743,弘裕三,99.95,89.5,償還國內第二次無擔保轉換公司債到期所需資金3.04億，發行CB3共3000張,2025/3/31,借新還舊
1477,14771,聚陽一,386,110,,,
1477,14772,聚陽二 ,292,100,,,
1477,14773,聚陽三,495,106.5,,2009/6/12,
1477,14774,聚陽四,401,106.2,償還銀行借款7億,2012/8/24,償還銀行借款
1504,15043,東元三,167,99.05,償還銀行借款 30億,2012/7/12,償還銀行借款
1506,15061,正道一,121,96.95,償還銀行借款2億，轉投資正道福州1.5億，正道馬來0.8億，興建廠房購置設備2.1億，充實營運資金0.6億。,2015/1/23,償還+充實
1513,15131,中興電一,213,101,償還銀行借款15億,2020/1/16,償還銀行借款
1513,15132,中興電二,231,106,償還銀行借款15.06億,2020/12/17,償還銀行借款
1514,15141,亞力一,276,103.8,償還金融機構借款10.05億,2023/8/17,償還銀行借款
1514,15142,亞力二,127,99.45,償還銀行借款12.06億，發行第二次CB 12000張。,2025/1/13,借新還舊
1515,15151,力山一,131,122,,,
1522,15221,堤維西一,142,92,,,
1524,15241,耿鼎一,195,103.2,,,
1524,15242,耿鼎二,100,100,,2005/1/22,
1524,15243,耿鼎三,127,101,償還銀行借款3億,2012/1/2,償還銀行借款
1526,15261,日馳一,104.8,90.1,充實營運資金1.69億，償還銀行借款3.5億,2023/9/19,償還+充實
1528,15281,恩德一,132,78.3,,,
1528,15282,恩德二,149,102,,2010/7/16,
1529,15291,樂士一,179,54,,,
1530,15301,亞崴一,115,103,,,
1530,15302,亞崴二,105,98,償還銀行借款4億,2015/5/14,償還銀行借款
1532,15321,勤美一,222,123,,,
1532,15322,勤美二,190,102.5,,,
1532,15323,勤美三,338,102,,,
1532,15324,勤美四,184,99.75,償還銀行借款15億,2022/1/24,償還銀行借款
1533,15331,車王電一,132,103,,,
1533,15332,車王電二,111,93.5,償還銀行借款10億，充實營運資金0.55億,2022/1/26,償還+充實
1535,15351,中宇一,164,104,充實營運資金4.5億，轉投資中宇越南1.5億,2012/2/20,充實營運資金
1536,15361,和大一,231,97.1,,,
1536,15362,和大二,141.5,82.15,,2006/7/8,
1536,15363,和大三,765,725,,2009/11/5,
1536,15364,和大四,130.3,93.9,償還銀行借款15億，發行CB4共15000張，詢圈100發行,2024/8/12,借新還舊
1537,15371,廣隆一,225,83,,2007/11/27,
1541,15411,錩泰一,129.45,77,,,
1560,15601,中砂一,146.5,98.7,償還銀行借款11.83億,2024/6/24,償還銀行借款
1566,15661,捷邦一,124.85,94,,2012/12/14,
1569,15691,濱川一,207,92.25,,,
1569,15692,濱川二,182,107,,2010/1/18,
1569,15693,濱川三,162,107,,2010/1/19,
1569,15694,濱川四,136.95,101,現金增資2億，5000張/40元，濱川四募得2億，償還銀行借款2億，轉投資2億,2012/12/12,償還銀行借款
1569,15695,濱川五,187,100.2,現金增資1.75億，10000張/17.5元，濱川五募得2億，償還銀行借款3.75億,2015/2/4,償還銀行借款
1569,15696,濱川六,149,95,償還銀行借款6億,2019/2/27,償還銀行借款
1582,15821,信錦一,130.8,97.6,,2011/2/19,
1582,15822,信錦二,147,98.5,償還銀行借款6.24億，轉投資子公司(昆山鴻嘉駿)1.82億,2015/1/20,償還銀行借款
1582,15823,信錦三,203,101,償還銀行借款8.35億，轉投資子公司4.28億,2021/9/9,償還銀行借款
1583,15831,程泰一,106.8,95.05,償還金融機構借款6.03億,2015/3/11,償還銀行借款
1584,15841,精剛一,117.7,93,,,
1584,15842,精剛二,113,100,現金增資1.93億，精剛二募得2.87億，償還銀行借款4.67億，充實營運資金0.2億,2012/4/24,償還+充實
1586,15861,和勤一,189,100.2,償還銀行借款3億,2015/1/13,償還銀行借款
1586,15862,和勤二,127.5,99.5,償還銀行借款4億,2020/8/31,償還銀行借款
1586,15863,和勤三,125.25,98.55,償還銀行借款4億,2020/9/1,償還銀行借款
1586,15864,和勤四,124,105,償還國內第二次第三次有擔保轉換公司債3.85億，償還銀行借款1.14億，充實營運資金0.14億，與和勤五同時發行,2023/8/30,借新還舊
1586,15865,和勤五,114.5,93.55,償還國內第二次第三次有擔保轉換公司債3.85億，償還銀行借款1.14億，充實營運資金0.14億，與和勤四同時發行,2023/8/31,借新還舊
1589,15891,永冠一KY,165,100.05,現金增資4.24億，4000張/106元，永冠一募得15億，償還銀行借款15.89億，充實營運資金4億,2014/6/3,償還+充實
1589,15892,永冠二KY,114,97.5,現金增資9.9億，5000張/198元，永冠二募得25億，興建廠房15億，購置機器設備13.86億，充實營運資金6.13億,2015/8/18,充實營運資金
1589,15893,永冠三KY,116,93.7,興建廠房21.9億，購置機器設備10.68億，充實營運資金4.58億，共需37.18億元,2020/9/3,充實營運資金
1589,15894,永冠四KY,131.1,92.45,償還銀行借款15億,2023/2/20,償還銀行借款
1592,15921,英瑞一KY,99.6,26.1,,2019/11/18,
1593,15931,祺驊一,145,102.05,現金增資0.95億，2660張/36元，祺驊一募得0.6億，購置機器設備0.32億，充實營運資金1.26億,2015/1/30,充實營運資金
1593,15932,祺驊二,228,105,償還銀行借款0.95億及充實營運資金1.06億,2020/11/4,償還+充實
1595,15951,川寶一,115.5,96,購買專利權(含技轉)1.35億，購買商品存貨(含零件存貨及半成品)1.15億,2015/2/11,資本支出
1595,15952,川寶二,191,102,"轉投資 CBT CONVERGE CO.,LTD. (以下簡稱川寶泰國)  3.5億",2024/9/2,轉投資
1598,15981,岱宇一,381,100,轉投資香港岱宇，用以支應其取得 錫頓金屬製品(嘉興)有限公司 60% 股權之現金對價 6.65億,2017/9/20,轉投資
1598,15982,岱宇二,177,99.6,償還銀行借款,2020/8/24,償還銀行借款
1598,15983,岱宇三,121,95.1,償還銀行借款10億,2021/6/28,償還銀行借款
1598,15984,岱宇四,103.5,91.5,償還銀行借款5億，發行CB4共2000張，現增12000張，暫定25元,2025/3/3,借新還舊
1599,15991,宏佳騰一,109,99.1,充實營運資金3.09億,2022/11/18,充實營運資金
1603,16031,華電一,221,100.5,0,,
1606,16062,歌林二,101.5,8.05,,,
1609,16091,大亞一,184,114,,,
1609,16092,大亞二,184,114,,,
1609,16093,大亞三,185,92.2,,2005/2/2,
1609,16094,大亞四,187,98,償還銀行借款14.17億，轉投資大亞綠能4.25億,2021/11/22,償還銀行借款
1609,16095,大亞五,110,92.85,償還銀行借款15億，充實營運資金5億,2024/9/30,償還+充實
1611,16111,中電ㄧ,135,96.4,,2010/5/25,
1611,16112,中電二,102.4,95,償還銀行借款16億,2013/3/28,償還銀行借款
1616,16161,億泰一,199,99,,,
1617,16171,榮星一,128.85,99,,,
1617,16172,榮星二,148,102,,2010/8/29,
1617,16173,榮星三,176,94,現金增資2.02億，榮星三募得2.23億，償還銀行借款4.26億,2022/3/2,償還銀行借款
1618,16181,合機一,377,125,,,
1626,16261,艾美特一KY,101.35,89,償還銀行借款9.5億，充實營運資金3.5億,2014/8/15,償還+充實
1626,16262,艾美特二KY,125.5,99.7,償還銀行借款5億,2017/9/30,償還銀行借款
1626,16263,艾美特三KY,111.2,101,九江場資支出32.65億元，償還銀行借款0.675億元,2019/12/4,償還銀行借款
1626,16264,艾美特四KY,105.5,90.6,償還銀行借款2.73億，充實營運資金1.27億,2020/12/10,償還+充實
1704,17043,榮化三,106,71.2,,,
1707,17071,葡萄王一,169,98.8,建廠9.97億，購買機器設備0.44億，充實營運資金3.5億,2015/8/26,充實營運資金
1709,17091,和益一,164,98.5,轉投資子公司益聯實業1.8億，償還銀行借款5.2億,2014/2/20,償還銀行借款
1712,17121,興農一,142.1,99.6,償還銀行借款12億,2013/8/15,償還銀行借款
1715,17151,萬洲一,199,90,,2011/9/15,
1715,17152,萬洲二,149,99.5,,2013/12/20,
1715,17153,萬洲三,103.9,95,,2015/5/28,
1720,17202,生達二,142.85,100,,,
1720,17203,生達三,207,97.65,,2009/9/18,
1727,17271,中華化一,147,97.55,償還銀行借款5.55億，充實營運資金0.48億,2022/10/3,償還+充實
1729,17291,必翔一,145.5,83,,2007/12/14,
1729,17292,必翔二,101.6,85.45,,2009/11/22,
1730,17301,花仙子一,178,103.5,現金增資1.05億，3500張/30元，花仙子一募得2億，償還銀行借款2.1億，充實營運資金0.95億,2016/2/2,償還+充實
1733,17331,五鼎一,111.8,99.1,現金增資1.95億，3000張/65元，五鼎一募得4億，購置廠房及建物改良3億，充實營運資金2.95億,2012/8/6,充實營運資金
1733,17332,五鼎二,128.2,99.5,償還國內第一次無擔保轉換公4.03億，充實營運資金0.97億,2015/7/15,借新還舊
1733,17333,五鼎三,123,100,償還國內第二次無擔保轉換公司債到期之本金與利息3.47億,2018/5/24,借新還舊
1734,17341,杏輝一,172,100.1,,2008/6/21,
1735,17351,日勝化一,120,120,0,,
1752,17521,南光一,126.9,99.65,,2010/11/22,
1752,17522,南光二,159,106.25,償還銀行借款4億,2013/12/13,償還銀行借款
1781,17811,合世一,268,107,,2010/1/29,
1781,17812,合世二,200,100,,2011/1/17,
1781,17813,合世三,116.95,100.3,償還銀行借款0.65億，充實營運資金1.35億,2024/9/24,償還+充實
1784,17841,訊聯一,143,68.5,,2008/3/7,
1785,17851,光洋科一,435,101.4,,,
1785,17852,光洋科二,297,103,,,
1786,17861,科妍一,117,98.5,興建新廠6.3億，償還銀行借款4.06億,2019/3/4,償還銀行借款
1786,17862,科妍二,313,100,償還銀行借款3億，充實營運資金1億,2022/10/3,償還+充實
1787,17871,福盈一,133.6,100,,,
1787,17872,福盈二,230,101.5,,2010/1/18,
1788,17881,杏昌一,163,103.8,償還銀行借款2.43億，興建物流倉庫2.65億,2019/4/18,償還銀行借款
1795,17951,美時一,161,99,,2010/8/10,
1795,17952,美時二,147.2,97,,2010/8/13,
1795,17953,美時三,611,107,現金增資6億，美時三募得4億，擴建產線工程及購置機器設備1.5億，償還銀行借款1.5億，研發新藥費用7.6億,2013/10/18,償還銀行借款
1796,17961,金穎生技一,106.3,80,新建廠房1.85億，購置設備2億,2019/3/6,資本支出
1799,17991,易威一,133,99.6,現金增資2.68億，14000張/19.2元，易威一募得2億，充實營運資金 1.08億，增設實驗室及其設備0.62億，長期股權投資4.5億,2017/2/21,充實營運資金
1805,18051,寶徠一,117,99.75,償還銀行借款3億,2021/9/24,償還銀行借款
1806,18061,冠軍一,269,101.2,,2007/9/20,
1806,18062,冠軍二,266,107,,2009/9/8,
1808,18081,潤隆一,165,106.1,,,
1808,18082,潤隆二,156,104,償還銀行借款10億,2011/10/12,償還銀行借款
1808,18083,潤隆三,305,105.2,償還銀行借款15億,2013/9/9,償還銀行借款
1813,18131,寶利一,128.1,100,,2010/5/8,
1815,18151,富喬一,190,93,,2007/7/17,
1815,18152,富喬二,0,0,,2008/8/5,
1815,18153,富喬三,130.35,99,償還銀行借款及短期票券7.5億,2012/3/8,償還銀行借款
1815,18154,富喬四,202,96,償還銀行借款5億,2013/9/23,償還銀行借款
1815,18155,富喬五,132,96.3,償還銀行借款6億,2018/7/26,償還銀行借款
1815,18156,富喬六,283,95.6,償還銀行借款4億,2021/3/16,償還銀行借款
1902,19021,台紙一,150,93,,,
1902,19022,台紙二,135,89.05,,,
1902,19023,台紙三,201,107,,2009/7/13,
1909,19093,榮成三,225,93.8,償還銀行借款7億，發行第二次CB 7000張。,2014/8/5,借新還舊
1909,19094,榮成四,118.5,92.2,償還銀行借款15億，發行第三次CB15000張。,2021/12/20,借新還舊
2006,20062,東和鋼鐵二,199,96.2,,,
2006,20063,東和鋼鐵三,238,104.6,,,
2006,20064,東和鋼鐵四,110.3,81.55,,2008/5/5,
2006,20065,東和鋼鐵五,126.15,99.85,,2009/7/11,
2006,20066,東和鋼鐵六,109.2,99.2,償還銀行借款25億,2012/11/5,償還銀行借款
2006,20067,東和鋼鐵七,173,100,償還銀行借款25.12億,2018/5/14,償還銀行借款
2012,20121,春雨一,112.35,97.1,償還銀行借款16億，充實營運資金1.81億，春雨一二三同時發行,2022/3/25,償還+充實
2012,20122,春雨二,112.6,97.3,償還銀行借款16億，充實營運資金1.81億，春雨一二三同時發行,2022/3/25,償還+充實
2012,20123,春雨三,112,97.15,償還銀行借款16億，充實營運資金1.81億，春雨一二三同時發行,2022/3/25,償還+充實
2020,20201,美亞一,136.5,96,,,
2020,20202,美亞二,126.5,76.8,,2007/7/2,
2020,20203,美亞三,161,89.5,,2008/8/9,
2022,20221,聚亨一,202,103.05,,,
2022,20222,聚亨二,195,87.8,,,
2022,20223,聚亨三,128.7,106.85,償還銀行借款3億,2012/7/31,償還銀行借款
2022,20224,聚亨四,120.9,99.8,償還銀行借款3億,2013/9/30,償還銀行借款
2023,20231,燁輝一,145.9,98,0,,
2027,20271,成鋼一,115,83.85,,,
2030,20301,彰源一,171,101.2,,,
2031,20311,新光一,258,132,,,
2031,20312,新光鋼二,158,92,,,
2031,20313,新光鋼三,269,107,,2006/10/20,
2031,20314,新光鋼四,149,97.9,購買土地2.83億，擴建廠房1.16億，購買機器設備1億,2013/12/20,資本支出
2031,20315,新光鋼五,284,100.5,建築基地夯實工程0.8億，擴建廠房4.98億，購置機器設備0.25億,2017/11/9,資本支出
2032,20321,新光鋼一    ,112,84,,,
2034,20341,允強一,186,96,,,
2034,20342,允強二,153,89,,2006/10/17,
