日期,債券代碼,債券簡稱,轉換起日,轉換迄日,轉換價格,下次轉換價格生效日期,最近賣回權起日,最近賣回權迄日,最近賣回權價格,強制贖回起日,強制贖回迄日,強制贖回價格,終止櫃檯買賣日,原始發行總額,上月底發行餘額,轉債參考價格,轉換標的股票價格,停止交易起日,停止交易迄日,票面利率
20260102,11011,台泥一永,2025/3/11,2029/12/10,35.2,2025/7/8,,,0,,,0,,8000000000,8000000000,97,23,,,
20260102,12561,鮮活果汁一KY,2026/1/9,2028/10/8,189.1,2025/11/3,,,0,,,0,,200000000,200000000,94.55,145.5,,,
20260102,13164,上曜四,2021/4/30,2026/1/29,15,2023/10/25,,,100.75,,,0,,400000000,112800000,103.9,14.9,,,
20260102,13166,上曜六,2025/3/28,2027/12/27,17.8,2024/12/27,,,0,,,0,,400000000,400000000,112.05,14.9,,,
20260102,13382,廣華二KY,2024/3/2,2028/12/1,37.6,2025/7/15,,,0,,,0,,600000000,600000000,101.1,20.3,,,
20260102,140201,遠東新E1永,2024/11/9,2029/8/8,45.4,2024/8/8,,,100,,,0,,1000000000,1000000000,103.45,21.75,,,
20260102,140202,遠東新E2永,2024/11/9,2029/8/8,33.7,2024/8/8,,,0,,,0,,1500000000,1499200000,98.3,21.75,,,
20260102,14363,華友聯三,2024/11/28,2027/8/27,128.7,2025/7/27,,,0,,,0,,600000000,600000000,99.6,65,,,
20260102,14364,華友聯四,2025/6/19,2028/3/18,99,2025/7/27,,,0,,,0,,2000000000,2000000000,95.95,65,,,
20260102,14381,三地開發一,2025/3/20,2029/12/19,55.88,2024/12/26,,,0,,,0,,970000000,970000000,119.7,33.55,,,
20260102,14664,聚隆四,2025/9/21,2028/6/20,18.8,2025/6/20,,,0,,,0,,400000000,400000000,105.05,14.1,,,
20260102,14722,三洋實業二,2025/8/30,2028/5/29,98.6,2025/7/15,,,0,,,0,,300000000,300000000,105.5,88.1,,,
20260102,14723,三洋實業三,2025/9/18,2028/6/17,101.5,2025/7/15,,,0,,,0,,400000000,400000000,95.75,88.1,,,
20260102,14743,弘裕三,2025/7/1,2028/3/31,14,2025/8/25,,,0,,,0,,300000000,300000000,94,10.45,,,
20260102,15142,亞力二,2025/4/14,2030/1/13,109.2,2025/9/15,,,0,,,0,,1200000000,1200000000,116.05,98.1,,,
20260102,15261,日馳一,2023/12/20,2026/9/19,37.29,2023/12/5,,,0,,,0,,500000000,500000000,96.75,16.8,,,
20260102,15364,和大四,2024/11/13,2027/8/12,71.47,2025/4/16,,,0,,,0,,1500000000,1500000000,97.35,56.4,,,
