日期,代號,名稱,收市,漲跌,開市,最高,最低,筆數,單位,金額,明日參價
20260302,11011,台泥一永,,,,,,,,,99.2
20260302,12561,鮮活果汁一KY,,,,,,,,,100
20260302,13166,上曜六,,,,,,,,,106.3
20260302,13382,廣華二KY,93,-5.25,97.05,97.05,89,75,195,18205950,93
20260302,140201,遠東新E1永,,,,,,,,,104.45
20260302,140202,遠東新E2永,97.95,,97.95,97.95,97.95,2,25,2448750,97.95
20260302,14363,華友聯三,99,,99.05,99.05,98.55,25,51,5041200,99
20260302,14364,華友聯四,94.6,-0.5,95.05,95.05,94.6,18,29,2748900,94.6
20260302,14381,三地開發一,,,,,,,,,119.7
20260302,14664,聚隆四,114,,116,116,114,19,38,4358150,114
20260302,14722,三洋實業二,105.45,1,105.45,105.45,105.45,3,13,1370850,105.45
20260302,14723,三洋實業三,98,,98,98,98,2,3,294000,98
20260302,14743,弘裕三,92.2,,92.2,92.2,92.2,6,6,553200,92.2
20260302,15142,亞力二,131,-1.9,131.6,131.6,131,9,13,1705450,131
20260302,15261,日馳一,96.45,-1.15,96.45,96.55,96.45,5,5,482400,96.45
20260302,15364,和大四,99.2,-0.25,99.2,99.2,99.2,1,1,99200,99.2
20260302,15601,中砂一,177,-7,181,181,175,26,39,6946000,177
20260302,15864,和勤四,104,-1.8,104,104,103.5,5,8,831000,104
20260302,15865,和勤五,99.05,0.05,99.1,99.1,99.05,2,3,297250,99.05
20260302,15894,永冠四KY,,,,,,,,,65.65
20260302,15952,川寶二,,,,,,,,,112.45
20260302,15984,岱宇四,93.3,-3.7,93.15,93.8,93,13,22,2048950,93.3
20260302,16095,大亞五,107.25,-0.05,106,107.5,106,9,17,1823100,107.25
20260302,17813,合世三,,,,,,,,,101.95
20260302,17863,科妍三,,,,,,,,,123
20260302,18156,富喬六,,,,,,,,,765
20260302,19094,榮成四,,,,,,,,,96.55
20260302,20344,允強四,105.05,-2.45,105.05,107.9,105.05,3,4,423050,105.05
20260302,20662,世德二,,,,,,,,,98.15
20260302,21043,國際中橡三,99.1,-0.7,99.1,99.1,99.1,2,2,198200,99.1
20260302,22013,裕隆三,,,,,,,,,99.85
20260302,22283,劍麟三,118.05,-1.95,119,119,114.85,4,4,466950,118.05
20260302,22331,宇隆一,127.45,0.85,126.6,127.5,126.6,16,21,2664450,127.45
20260302,22362,百達二KY,,,,,,,,,190
20260302,22363,百達三KY,94.6,-2.35,96.4,96.4,93.6,15,60,5716750,94.6
20260302,22471,汎德永業一,103.5,-0.2,104.9,104.9,103.45,14,16,1661300,103.5
20260302,22472,汎德永業二,105.7,,105.7,106.95,105.65,11,241,25463800,105.7
20260302,23372,旺宏二,515,32,508,515,508,3,13,6650000,515
20260302,23383,光罩三,,,,,,,,,98.55
20260302,23511,順德一,127.8,0.3,129.9,129.9,127.8,4,4,515400,127.8
20260302,23683,金像電三,174,-8,174,178,172,131,776,135865000,174
20260302,23742,佳能二,118.9,0.55,118.6,119,118.3,18,29,3439700,118.9
20260302,24023,毅嘉三,131,4.2,125,133,125,60,107,14008500,131
20260302,24271,三商電一,,,,,,,,,103.3
20260302,24361,偉詮電一,120,-3,124,124,120,17,30,3656500,120
20260302,24394,美律四,104,0.9,103.1,104,103.1,3,6,619500,104
20260302,24395,美律五,104.55,-0.35,104.55,104.55,104.55,1,1,104550,104.55
20260302,24423,新美齊三,97,-0.2,96.4,97.2,96.4,15,174,16869900,97
20260302,24424,新美齊四,97,,97,97,97,5,12,1164000,97
20260302,24552,全新二,169,9,163,170,162,103,236,39390000,169
20260302,24553,全新三,180,10,170,180,170,25,39,6917000,180
20260302,24616,光群雷六,111.5,-2.5,113,115,110,45,83,9372750,111.5
20260302,24624,良得電四,,,,,,,,,101.2
20260302,24642,盟立二,113,,113,113,111.1,14,47,5298200,113
20260302,24672,志聖二,148.95,7.6,141.45,149.85,141.45,76,160,23341500,148.95
20260302,24673,志聖三,149,7.05,137,149,137,135,436,63660850,149
20260302,24762,鉅祥二,133.35,,133.35,133.35,133.35,2,5,666750,133.35
20260302,24866,一詮六,130,,130,130,130,1,2,260000,130
20260302,25283,皇普三,,,,,,,,,107.1
20260302,25284,皇普四,92.65,0.25,91.7,92.65,91.7,4,4,369150,92.65
20260302,25303,華建三,96.95,0.85,95,96.95,95,2,4,381950,96.95
20260302,25304,華建四,98.35,0.95,97.45,98.35,97.35,22,63,6137200,98.35
20260302,25483,華固三,104.5,0.5,104.1,104.7,103.25,12,21,2188600,104.5
20260302,25484,華固四,105.65,1.05,105.75,105.75,105.2,5,6,632500,105.65
20260302,26107,華航七,118,-8.4,118,119.55,117.5,18,48,5683550,118
20260302,26417,正德七,100.2,-0.85,100.2,100.2,100.2,1,2,200400,100.2
20260302,26418,正德八,108,1.6,111,111,106.5,4,4,432000,108
20260302,27271,王品一,104.75,0.05,104.6,105.1,104.6,37,131,13729100,104.75
20260302,27323,六角三,,,,,,,,,100.65
20260302,27324,六角四,,,,,,,,,105
