id,type,date,company,code,source,category,importance,content,tags,importance_num,related_companies
1,個股報導,2025/03/03,廣達,2382,美系大行,重申正面,⭐⭐⭐⭐,"• 美系大行認為4Q OP不如預期係因AI研發費用上來加上發員工獎金。
• 展望1Q，GB200開始出貨，預期伺服器上升，NB/一般性伺服器符合季節性表現。
• 毛利率方面，預估與上季持平。
• 不過，券商下修25-26年EPS至$15.66/$18.6，評等維持正向，以今年20xPE評價，目標微調。",#GB200 #AI伺服器,4,
2,個股報導,2025/03/03,台達電,2308,美系大行,重申正面,⭐⭐⭐⭐⭐,"• 資料中心相關+水冷會是今年成長動能，預估兩者能推升總營收今年成長17%。
• 水冷1Q已佔營收6-7%。
• 另外資本支出預估與去年接近。
• 券商預估今明年EPS: $17.3/$19.9。",#水冷 #資料中心,5,
3,個股報導,2025/03/03,仁寶,2324,美系大行,EW,⭐⭐⭐,"• 美系大行預估PC營收在1Q季減高個位數符合季節性表現。
• 不過，伺服器、車用在1Q都會成長。
• 券商評等雖維持EW，但預估伺服器今年成長雙位數。
• 預估今明年EPS: $2.95/$3.3。",#PC #伺服器 #車用,3,
4,個股報導,2025/03/04,AI供應鏈,-,美系大行,產業趨勢/CoWoS下修,⭐⭐⭐⭐⭐,"• 美系大行去年9月預估今年CoWoS產能80kwpm，今下修至75kwpm，砍單是來自非Nvidia陣營如：AMD, Intel, Google。
• Nvidia需求穩健完全沒砍，CoWoS-L: 390k, S: 50k, R: 10k。
• 與此同時，Apple A19 WMCM不是CoWoS，而是InFO-M，而且也可以不用到BT載板。
• 綜上，券商認為不用對25年CoWoS產能過度積極期待，對於明年維持100kwpm不變。
• 對台積電及相關有覆蓋的設備公司維持正面不變。",#CoWoS #下修 #AMD #Intel,5,
5,個股報導,2025/03/04,富世達,6805,法說會,法說會,⭐⭐⭐⭐,"• 昨日舉辦法說會，摺疊機仍然今年是主要業務，預期有3-4款新品上市，而且採用自家MIM，可穩定ASP及毛利率。
• 伺服器相關(QD, rail kits)今年有望貢獻營收達2成(去年僅5%)。
• 其中QD, floating module搭配奇鋐水冷版出給客戶。
• rail kits今年會有ASIC server客戶，有1U, 2U, 4U, 7U等案子在走。",#摺疊機 #QD #railkits,4,
6,個股報導,2025/03/05,嘉澤,3533,美系大行,修目標,⭐⭐⭐,"• 美系大行略往下抓今明年EPS，更動後為$93.1/$116.3，以今年20xPE評價，略修目標。評等維持正向。
• 券商預估1Q營收季減6%，預估毛利率與上季持平：53.1%，亦高於市場預期。
• Server, DT支撐毛利率走勢，不過，券商認為今年毛利率會受到以下幾點影響：1）越南廠建廠成本較高、2）原物料價格、3）QD/Cable營收上升。",#越南廠 #毛利率,3,
7,個股報導,2025/03/05,台積電,2330,美系大行,重申正面,⭐⭐⭐⭐⭐,"• 美系大行在2/16即指出還會有新增美國擴產計劃，所以認為昨天的新增1000億不意外，而且也還沒具體時程表。
• 回到財務面上，台積電已指出未來幾年海外廠dilution 2-3%，券商認為公司早已隱含潛在海外擴廠計劃在內了。
• 而另一家美系券商也重申毛利率53%長期目標不變。
• 兩家資深的美系券商皆未因此案做財務模型修正的動作，維持今明年EPS預估不變，重申正面評價不變。",#美國擴廠 #毛利率,5,
8,個股報導,2025/03/06,環球晶,6488,美系券商,法說會/維持中性,⭐⭐⭐,"• 昨日舉辦法說會，會後美系券商維持中性評價不變。
• 4Q本業優於預期，但EPS被世創拖累。
• 展望今年，券商預期1Q是谷底，之後逐季攀升，預期1Q營收季減5.2%，2Q季增6.3%。
• 全年營收增長9.9%，但預期毛利率降至30%，因考量美國廠高折舊。
• 同時，券商考量美國政府補貼政策有變數，加上關稅議題仍在，故維持中性評價不變。",#法說會 #世創 #美國廠,3,
9,個股報導,2025/03/06,元太,8069,美系大行,重申正面,⭐⭐⭐⭐,"• 美系大行預期今年營收逐季走揚，預估全年營收成長34%。
• 也預期今年毛利率升至52.3% vs 去年的49.8%。
• 預期IOT, 消費性電子產品表現皆不俗，其中ESL的成長有來自Walmart的推動。",#ESL #Walmart,4,
10,個股報導,2025/03/06,面板產業,-,美系大行,產業趨勢,⭐⭐⭐⭐,"• 美系大行預期1Q TV季增3-4%，IT flat。
• 預期2Q報價持續走揚，因季節性庫存回補，及中國需求。
• 台廠方面，維持OW群創，EW友達。",#面板 #群創 #友達,4,
11,個股報導,2025/03/07,華碩,2357,美系大行,升目標,⭐⭐⭐⭐,"• 美系大行上修25-26年EPS: $46.8/$53.7，以今年16xPE評價，同步升目標。
• 券商認為4Q OPM受研發費用上升影響。
• 展望今年，預估1Q表現優於季節性，Nvidia新的顯卡上市，AI server有去年遞延的專案，PC表現也是優於預期。
• 預估1Q營收季增4%、年增18%，毛利率16.6%、OPM 5.5%。",#顯卡 #AI伺服器 #PC,4,
12,個股報導,2025/03/07,奇鋐,3017,美系大行,EPS上修,⭐⭐⭐⭐⭐,"• 美系大行上修25-27年EPS至$26.2/$44.9/$54。以今年29.5xPE評價。
• 二月營收表現強勁，工作天數少卻能展現月增態勢(+18%)、年增76%。
• 券商認為係因水冷佔比上升有關，樂觀預期接下來營收表現也是呈現逐月成長。
• 同時水冷毛利率30%+大於公司平均的20-25%。
• 綜上，維持正面評價不變，上修獲利。",#水冷 #毛利率,5,
13,個股報導,2025/03/07,建準,2421,美系大行,維持中性,⭐⭐⭐,"• 美系大行認為，儘管今年營收展望樂觀，然預期EPS會受限於OPEX的上升。
• 預估今明年EPS$7.12/$7.5，維持中性評價。",#OPEX,3,
14,個股報導,2025/03/11,嘉澤,3533,美系券商,法說前瞻,⭐⭐⭐⭐,• 今日下午舉辦法說會，美系券商預估1Q營收季減5-10%，2Q後續成長。,#法說會,4,
15,個股報導,2025/03/11,聯發科,2454,美系券商,升目標,⭐⭐⭐⭐⭐,"• 美系券商升聯發科25-26年EPS至$73.3/$89.1，介紹27年$107.9，給予明年20xPE評價，同步升目標。
• 券商看到在車用市場大有斬獲，尤其是在中國EV，預估明年營收貢獻佔比4%，後年7%。",#車用 #EV #中國,5,
16,個股報導,2025/03/11,群聯,8299,美系大行,升評,⭐⭐⭐⭐⭐,"• 美系大行升評群聯至OW，預估今明年EPS: $35.7/$41.8，以今年19xPE評價，同步升目標。
• 券商觀察到產業有紀律的生產+SSD強勁需求=NAND module大好年。
• SanDisk也宣布4/1漲價10%，通路商也積極回補庫存，預估群聯2Q營收年增翻正。",#升評OW #SSD,5,
17,個股報導,2025/03/11,記憶體產業,-,美系大行,產業趨勢,⭐⭐⭐⭐,"• 美系大行更新如下：
DRAM(-): 研調機構預估Specialty DRAM DDR4 1Q季減10-15%，2Q再減5-10%，而且認為長鑫存儲擴產對南亞科不利。但對華邦電持OW，券商看好CUBE之後的貢獻。
NAND(=/-), NAND Module(+): NAND wafer price YTD漲10%，預期2Q報價與1Q持平。NAND module price預期下半年會進一步推升。",#DRAM #NAND #華邦電,4,
18,個股報導,2025/03/14,金像電,2368,美系大行,升目標,⭐⭐⭐⭐⭐,"• 因著ASIC server及networking需求暢旺。美系大行上修1Q營收目標至季增15%、年增25%、毛利率上修至29%。
• 同時也預期2Q營收、毛利率還會繼續上升。
• 泰國新廠預計有三期，目前3Q將會開出第一期的一半，就能在今下半年多出每月3億的營收，接下來預估明上半年6-8億，明下半年到10-13億。
• 綜上，券商上修今明年EPS至16.1/$21，給予今年17xPE評價，同步升目標。",#ASIC #泰國廠,5,
19,個股報導,2025/03/14,矽力杰,6415,美系大行,升目標,⭐⭐⭐⭐,"• 美系大行預期今年營收年增2-3成。
• 主要來自車用需求，HPC接下來也有機會。
• 上修今明年EPS至$18/$27，給予今年43xPE評價。",#車用 #HPC,4,
20,個股報導,2025/03/14,智邦,2345,美系券商,升目標,⭐⭐⭐⭐⭐,"• 呼應AWS ASIC強勁需求，美系券商認為4Q result優於預期。
• 預期1Q營收季持平、年增107%，預估今年營收年增47%。
• 預期營收季季高。
• 預估今明年EPS:$30.9/36.9，以未來四季的33xPE評價，同步升目標。",#AWS #ASIC,5,
21,個股報導,2025/03/18,富世達,6805,美系券商,重申正面,⭐⭐⭐⭐,"• 美系券商認為二月營收年增53%大幅優於同業表現。
• 預估1Q是今年低點，之後逐月走揚。
• 本月華為摺疊Pocket 3亮相，下半年還有多款摺疊機型上市。
• 此外伺服器相關的也在出貨中，券商重申正面評價不變。",#摺疊機 #華為 #伺服器,4,
22,個股報導,2025/03/19,記憶體產業,-,美系大行,升目標,⭐⭐⭐⭐,"• 美系大行以DDR3/4的報價止穩為由，升2408南亞科目標。
• 但考量同業CXMT, GigaDevice在轉換成DDR5前仍會取得DDR4市占率，所以評等仍維持UW。
• 在NAND module方面，報價持續走揚，券商順勢上修25-27年EPS至$37.2/$44.6/$44.5。
• 以明年19xPE評價，調高8299群聯目標。",#南亞科 #群聯,4,
