日期,代號,名稱,成交量,成交值,開盤,最高,最低,收盤,成交筆數
20260302,1240,茂生農經,2000,118100,58.7,59.4,58.7,59.4,2
20260302,1259,安心,9000,550100,61.1,61.5,60.6,61.4,8
20260302,1264,德麥,36000,10126000,282,284,280,284,30
20260302,1268,漢來美食,20000,3202500,160,160.5,160,160.5,17
20260302,1294,漢田生技,23000,1791500,77.1,78.6,77.1,78.6,23
20260302,1295,生合,62000,4814500,78,78.1,77.1,77.1,57
20260302,1336,台翰,472000,7319750,15.8,15.8,15.45,15.5,171
20260302,1565,精華,217000,23978000,112,112,110,110,180
20260302,1569,濱川,1783000,101448600,55.2,57.6,54.8,57.5,913
20260302,1570,力肯,157000,4828250,31.45,31.45,30.5,30.85,74
20260302,1580,新麥,91000,11889000,131,131,130,131,61
20260302,1584,精剛,1537000,36489150,24.1,24.75,23.35,23.35,887
20260302,1586,和勤,536000,12999150,24.75,24.75,23.3,24.45,384
20260302,1591,駿吉-KY,181000,8799650,48.3,49.45,47,48.75,134
20260302,1593,祺驊,92000,3035000,32.7,33.25,32.7,32.95,71
20260302,1595,川寶,186000,7707850,40.15,41.8,40.15,41.35,117
20260302,1599,宏佳騰,49000,1356100,27.8,28,27.45,27.75,37
20260302,1742,台蠟,9000,152850,17.1,17.1,16.65,17.1,9
20260302,1777,生泰,72000,5207300,73.3,73.3,72,72.2,51
20260302,1781,合世,23000,288100,12.5,12.6,12.4,12.6,16
20260302,1784,訊聯,1085000,113534100,99.1,107.5,98.9,104,756
20260302,1785,光洋科,14548000,914601400,64,64.5,61.6,62.6,7638
20260302,1788,杏昌,19000,2595000,136,137,136,137,16
20260302,1796,金穎生技,13000,559050,42.85,43.15,42.8,43.15,10
20260302,1799,易威,184000,5790000,32,32,31.1,31.3,105
20260302,1813,寶利徠,29000,387750,13.4,13.4,13.3,13.35,17
20260302,1815,富喬,62758000,6696653500,103.5,110,102.5,107.5,31858
20260302,2035,唐榮,7000,197200,27.55,28.95,27.55,28.95,7
20260302,2061,風青,252000,4584400,18,18.45,18,18.15,143
20260302,2063,世鎧,81000,2253900,27,28.2,27,27.3,45
20260302,2064,晉椿,26000,319400,11.95,12.5,11.85,12.2,11
20260302,2065,世豐,91000,2799950,30.45,31.05,30.4,30.65,60
20260302,2066,世德,36000,1890900,54.2,54.2,51.4,54,35
20260302,2067,嘉鋼,60000,603500,10.25,10.25,10,10.1,45
20260302,2070,精湛,354000,14419700,40.2,41.7,39.4,41.4,233
20260302,2073,雄順,3000,78000,26,26,26,26,1
20260302,2221,大甲,91000,2856100,30.6,31.8,30.6,31.65,57
20260302,2230,泰茂,799000,29579050,38,38,36.2,37.8,374
20260302,2235,謚源,1000,35850,35.85,35.85,35.85,35.85,1
