日期,代號,名稱,資買,資賣,現償,資餘額,券賣,券買,券償,券餘額
20260202,1240,茂生農經,0,0,0,42,0,0,0,0
20260202,1259,安心,0,0,0,38,0,0,0,0
20260202,1264,德麥,0,0,0,0,0,0,0,0
20260202,1268,漢來美食,2,0,0,104,0,0,0,0
20260202,1294,漢田生技,0,0,0,33,0,0,0,0
20260202,1295,生合,4,0,0,64,0,0,0,0
20260202,1336,台翰,6,23,0,2752,0,0,0,0
20260202,1565,精華,24,15,0,967,0,0,0,0
20260202,1569,濱川,49,78,0,14418,6,2,0,286
20260202,1570,力肯,4,9,0,1647,0,0,0,1
20260202,1580,新麥,0,0,0,26,0,0,0,0
20260202,1584,精剛,740,314,3,8369,7,1,0,25
20260202,1586,和勤,29,72,0,12918,0,6,0,2
20260202,1591,駿吉-KY,44,92,0,1888,4,0,0,8
20260202,1593,祺驊,2,14,0,122,0,0,0,0
20260202,1595,川寶,71,31,0,1922,0,0,0,5
20260202,1599,宏佳騰,0,0,0,373,0,0,0,0
20260202,1742,台蠟,65,29,0,2980,0,0,0,9
20260202,1777,生泰,0,1,0,45,0,0,0,0
20260202,1781,合世,0,0,0,0,0,0,0,0
20260202,1784,訊聯,13,13,0,2334,0,0,0,4
20260202,1785,光洋科,976,1352,7,25823,20,8,0,56
20260202,1788,杏昌,0,0,0,1,0,0,0,0
20260202,1796,金穎生技,2,1,0,310,0,0,0,0
20260202,1799,易威,0,0,0,0,0,0,0,0
20260202,1813,寶利徠,0,0,0,70,0,0,0,0
20260202,1815,富喬,2588,3071,45,66854,120,779,1,1024
20260202,2035,唐榮,0,0,0,1,0,0,0,0
20260202,2061,風青,27,94,0,3539,7,0,0,11
20260202,2063,世鎧,1,0,0,104,0,0,0,0
20260202,2064,晉椿,0,0,0,45,0,0,0,0
20260202,2065,世豐,2,0,0,152,0,0,0,0
20260202,2066,世德,4,4,0,4249,0,0,0,0
20260202,2067,嘉鋼,0,0,0,0,0,0,0,0
20260202,2070,精湛,12,2,0,1933,0,1,0,96
20260202,2221,大甲,0,0,0,165,0,0,0,0
20260202,2230,泰茂,20,312,383,4114,8,3,0,56
20260202,2235,謚源,0,0,0,39,0,0,0,0
20260202,2596,綠意,6,1,0,1922,0,0,0,0
20260202,2640,大車隊,1,0,0,71,0,0,0,0
20260202,2641,正德,436,249,0,10601,0,31,0,1515
20260202,2643,捷迅,0,0,0,81,0,0,0,0
20260202,2718,全心投控,28,2,0,280,0,0,0,0
20260202,2719,燦星旅,0,0,0,84,0,0,0,0
20260202,2724,藝舍-KY,0,0,0,0,0,0,0,0
20260202,2726,雅茗-KY,7,1,18,370,0,0,0,0
20260202,2729,瓦城,0,1,0,14,0,0,0,0
20260202,2732,六角,3,8,0,208,0,0,0,0
20260202,2734,易飛網,1,9,0,634,1,0,0,1
20260202,2736,富野,10,3,0,957,0,0,0,12
20260202,2743,山富,6,12,0,894,0,0,0,20
20260202,2745,五福,13,14,0,1267,0,1,0,1
20260202,2751,王座,0,0,0,3,0,0,0,0
20260202,2754,亞洲藏壽司,1,1,0,194,0,0,0,0
20260202,2755,揚秦,2,2,0,79,0,0,0,2
20260202,2756,聯發國際,0,0,0,209,0,0,0,0
20260202,2916,滿心,0,0,0,292,0,0,0,0
20260202,2924,宏太-KY,0,0,0,5,0,0,0,0
20260202,2926,誠品生活,0,0,0,13,0,0,0,0
20260202,3064,泰偉,0,0,0,0,0,0,0,0
20260202,3066,李洲,9,2,0,495,0,0,0,0
20260202,3071,協禧,3,8,0,1170,0,0,0,3
20260202,3073,天方能源,3,11,0,951,0,0,0,0
20260202,3078,僑威,52,22,2,5829,5,2,0,34
20260202,3081,聯亞,14,209,4,5386,6,72,3,589
20260202,3083,網龍,46,18,0,1512,0,0,0,1
20260202,3085,新零售,0,0,0,0,0,0,0,0
20260202,3086,華義,10,25,0,910,0,3,0,37
20260202,3088,艾訊,20,23,0,2996,0,2,0,1
20260202,3093,港建*,28,32,0,1438,0,0,0,0
20260202,3095,及成,0,0,0,3,0,0,0,0
20260202,3105,穩懋,1695,3129,12,35764,68,89,0,692
20260202,3114,好德,16,16,0,458,0,0,0,0
20260202,3118,進階,0,1,0,37,0,0,0,0
20260202,3122,笙泉,0,1,0,428,0,0,0,0
20260202,3128,昇銳,3,21,1,2290,1,1,0,1
20260202,3131,弘塑,17,103,0,456,0,0,0,3
20260202,3141,晶宏,42,82,18,4146,11,3,0,43
20260202,3147,大綜,21,21,0,1427,0,0,0,2
20260202,3152,璟德,37,177,0,1701,0,0,0,0
20260202,3162,精確,103,259,1,7200,0,0,0,0
20260202,3163,波若威,43,491,1,9287,4,333,0,1236
20260202,3169,亞信,9,16,0,996,0,0,0,0
20260202,3171,炎洲流通,1,0,0,487,0,0,0,0
20260202,3176,基亞,4,10,0,822,0,0,0,0
20260202,3178,公準,15,28,0,904,0,0,0,0
20260202,3188,鑫龍騰,20,6,5,2662,0,0,0,14
20260202,3191,雲嘉南,0,0,0,0,0,0,0,0
20260202,3205,佰研,14,20,0,1263,0,0,0,79
20260202,3206,志豐,0,0,0,298,0,0,0,0
20260202,3207,耀勝,56,57,5,6777,0,0,0,25
20260202,3211,順達,1098,800,2,6427,7,87,0,372
20260202,3213,茂訊,28,27,1,2232,0,0,0,1
20260202,3217,優群,40,35,11,1696,1,0,0,1
20260202,3218,大學光,4,12,0,636,0,0,0,0
20260202,3219,倚強科,9,77,0,1428,0,0,0,20
20260202,3221,台嘉碩,618,1174,0,3093,26,50,0,93
20260202,3224,三顧,7,2,0,8898,0,0,0,1
20260202,3226,龍鋒,0,0,0,11,0,0,0,0
20260202,3227,原相,116,85,6,4871,13,11,0,35
20260202,3228,金麗科,0,0,0,0,0,0,0,0
20260202,3230,錦明,227,385,3,8415,27,26,0,61
20260202,3232,昱捷,10,16,0,2689,0,0,0,0
20260202,3234,光環,0,0,0,0,0,0,0,0
20260202,3236,千如,90,337,8,3988,12,31,0,185
20260202,3252,海灣,63,53,0,12371,0,0,0,0
20260202,3259,鑫創,0,0,0,0,0,0,0,0
20260202,3260,威剛,964,1985,1,12191,204,167,0,1068
20260202,3264,欣銓,579,1915,86,14559,37,65,0,462
20260202,3265,台星科,186,416,0,3634,6,9,0,50
20260202,3268,海德威,20,4,0,896,0,0,0,0
20260202,3272,東碩,4,30,0,1338,0,0,0,5
20260202,3276,宇環,16,3,0,739,0,1,0,0
20260202,3284,太普高,2,3,0,881,0,0,0,0
20260202,3285,微端,0,2,0,175,0,0,0,0
20260202,3287,廣寰科,8,23,0,1989,0,0,0,0
20260202,3288,點晶,0,0,0,0,0,0,0,0
20260202,3289,宜特,309,188,1,6721,0,0,0,0
20260202,3290,東浦,226,131,0,12195,1,0,0,17
20260202,3293,鈊象,128,62,1,3865,0,0,0,4
20260202,3294,英濟,61,73,0,8987,50,24,0,281
20260202,3297,杭特,6,18,0,1541,0,0,0,146
20260202,3303,岱稜,19,32,11,1459,0,0,0,1
20260202,3306,鼎天,13,76,2,1163,3,1,0,38
20260202,3310,佳穎,49,0,0,2536,0,0,0,0
20260202,3313,斐成,0,2,5,1924,0,0,0,161
20260202,3317,尼克森,52,189,0,3081,0,0,0,22
20260202,3322,建舜電,8,14,0,9480,0,0,0,16
20260202,3323,加百裕,374,995,0,6907,24,3,0,137
20260202,3324,雙鴻,648,433,3,5485,15,2,0,538
20260202,3325,旭品,0,13,11,1910,0,0,0,0
20260202,3332,幸康,3,2,0,298,0,0,0,0
20260202,3339,泰谷,51,296,1,6102,0,1,0,88
20260202,3354,律勝,21,40,0,1130,7,3,0,35
20260202,3357,臺慶科,104,222,7,2262,0,6,37,190
20260202,3360,尚立,68,101,0,3124,0,0,0,21
20260202,3362,先進光,46,71,7,5986,0,11,0,50
20260202,3363,上詮,678,1114,1,6232,256,18,0,327
20260202,3372,典範,0,4,0,25,0,0,0,0
20260202,3373,熱映,31,47,65,895,6,3,0,8
20260202,3374,精材,533,448,4,13371,18,81,0,82
