日期,代號,名稱,借券賣出,借券還券,當日餘額,參考價
20260302,1101,台泥,5846000,5190000,207140000,26.35
20260302,1102,亞泥,4373000,264000,88448000,35.7
20260302,1103,嘉泥,0,0,2257000,14.05
20260302,1104,環泥,0,22000,5868000,29.9
20260302,1108,幸福,0,0,666000,15.3
20260302,1109,信大,0,0,552000,15.8
20260302,1110,東泥,0,41000,1064000,16.5
20260302,1201,味全,0,11000,2158000,14.5
20260302,1203,味王,1000,0,52000,41.35
20260302,1210,大成,126000,363000,9228000,51.4
20260302,1215,卜蜂,12000,513000,5785000,155.5
20260302,1216,統一,1532000,1148000,177165000,73.6
20260302,1217,愛之味,1000,0,6281000,10.45
20260302,1218,泰山,12000,53000,6936000,18.15
20260302,1219,福壽,0,0,1199000,13.55
20260302,1220,台榮,0,5000,624000,13.2
20260302,1227,佳格,7000,466000,12673000,29.85
20260302,1229,聯華,147000,0,16180000,44.75
20260302,1231,聯華食,12000,0,6156000,85.8
20260302,1232,大統益,0,0,366000,153
20260302,1233,天仁,1000,0,132000,33.3
20260302,1234,黑松,1000,0,1206000,37.3
20260302,1235,興泰,0,0,42000,47.8
20260302,1236,宏亞,0,0,141000,27.45
20260302,1240,茂生農經,1000,1000,23000,59.4
20260302,1256,鮮活果汁-KY,1000,0,304000,160
20260302,1259,安心,0,0,16000,61.4
20260302,1264,德麥,0,0,22000,284
20260302,1268,漢來美食,0,0,66000,160.5
20260302,1294,漢田生技,0,0,74000,78.6
20260302,1295,生合,8000,0,455000,77.1
20260302,1301,台塑,5469000,3456000,228632000,50.7
20260302,1303,南亞,2737000,1334000,72147000,89.5
20260302,1304,台聚,991000,744000,14793000,12.25
20260302,1305,華夏,98000,448000,12799000,12.2
20260302,1307,三芳,52000,126000,5730000,34.1
20260302,1308,亞聚,149000,39000,9583000,13.7
20260302,1309,台達化,115000,20000,5970000,12.35
20260302,1310,台苯,125000,501000,6767000,9.08
20260302,1312,國喬,952000,0,47212000,12.85
20260302,1313,聯成,203000,0,9462000,11.45
20260302,1314,中石化,1675000,9476000,131908000,8.25
20260302,1315,達新,1000,0,38000,64.8
20260302,1316,上曜,201000,57000,18373000,13.4
20260302,1319,東陽,213000,332000,15243000,98
20260302,1321,大洋,0,1000,1536000,34
20260302,1323,永裕,10000,10000,235000,18.65
20260302,1324,地球,0,0,173000,10.55
20260302,1325,恆大,3000,0,1699000,29.1
20260302,1326,台化,8882000,3771000,118065000,48.2
20260302,1336,台翰,0,65000,474000,15.5
20260302,1337,再生-KY,9000,0,2396000,5.32
20260302,1338,廣華-KY,2000,0,280000,18.55
20260302,1339,昭輝,0,0,226000,43.55
20260302,1340,勝悅-KY,4000,10000,1492000,7.09
20260302,1342,八貫,1000,0,421000,101.5
20260302,1402,遠東新,3434000,1213000,47797000,29.15
20260302,1409,新纖,26000,0,20668000,15.15
20260302,1410,南染,3000,0,60000,33.3
20260302,1414,東和,0,0,320000,20
20260302,1416,廣豐,2000,0,403000,11.7
20260302,1417,嘉裕,0,0,563000,8.81
20260302,1418,東華,0,0,79000,19.65
20260302,1419,新紡,0,11000,1961000,67.4
20260302,1423,利華,3000,0,63000,38.3
20260302,1434,福懋,223000,236000,8601000,17.9
20260302,1436,華友聯,34000,2000,2807000,55.6
20260302,1437,勤益控,1000,0,733000,33.15
20260302,1438,三地開發,0,0,277000,32.4
20260302,1439,雋揚,0,0,71000,29.4
20260302,1440,南紡,167000,144000,8923000,13.25
20260302,1442,名軒,1000,0,3472000,28.75
20260302,1443,立益物流,0,0,69000,27.05
20260302,1444,力麗,0,0,2241000,6.35
20260302,1445,大宇,2000,0,214000,14.55
20260302,1446,宏和,0,0,1053000,16.3
20260302,1449,佳和,13000,0,2659000,10.7
20260302,1451,年興,0,0,385000,18.35
20260302,1452,宏益,1000,0,338000,11.5
20260302,1453,大將,1000,0,210000,13.1
20260302,1454,台富,1000,0,108000,13.75
20260302,1455,集盛,1000,0,4606000,8.2
20260302,1456,怡華,0,0,156000,13.5
20260302,1457,宜進,0,0,545000,15.85
20260302,1459,聯發,0,0,152000,12.4
20260302,1463,強盛新,0,0,841000,18.4
20260302,1464,得力,62000,0,2352000,10.95
20260302,1465,偉全,0,0,185000,12.4
20260302,1466,聚隆,0,241000,970000,19.6
20260302,1467,南緯,0,0,538000,7.54
20260302,1470,大統新創,0,0,1000,23.15
20260302,1472,三洋實業,1000,12000,156000,88.9
20260302,1473,台南,0,17000,1140000,25.05
20260302,1474,弘裕,0,0,273000,10.3
20260302,1475,業旺,3000,0,140000,30.1
20260302,1476,儒鴻,0,1663000,10012000,414.5
20260302,1477,聚陽,337000,73000,11170000,320.5
20260302,1503,士電,602000,63000,8191000,226
20260302,1504,東元,3011000,692000,76868000,80.5
20260302,1513,中興電,359000,101000,14646000,171.5
20260302,1514,亞力,290000,4000,13040000,124
20260302,1515,力山,17000,0,2079000,26.95
20260302,1517,利奇,0,0,1933000,12.05
20260302,1519,華城,158000,352000,4289000,1030
20260302,1521,大億,0,0,124000,26.5
20260302,1522,堤維西,58000,0,5712000,43.55
20260302,1524,耿鼎,0,0,9911000,29.95
20260302,1525,江申,0,0,63000,63.5
20260302,1526,日馳,1000,54000,478000,19.6
20260302,1527,鑽全,20000,15000,2089000,33.6
20260302,1528,恩德,100000,27000,4004000,23.4
20260302,1529,樂事綠能,2000,3000,2827000,26.1
20260302,1530,亞崴,0,0,172000,28.75
20260302,1531,高林股,0,0,409000,12.45
20260302,1532,勤美,0,58000,4840000,24.2
20260302,1533,車王電,0,0,380000,30.6
20260302,1535,中宇,8000,0,145000,51
20260302,1536,和大,365000,353000,20542000,61.7
20260302,1537,廣隆,1000,51000,548000,125
20260302,1539,巨庭,0,7000,283000,18
20260302,1540,喬福,5000,46000,1725000,23.4
20260302,1541,錩泰,1000,0,100000,25.3
20260302,1558,伸興,0,9000,478000,97.1
20260302,1560,中砂,2000,232000,7699000,506
20260302,1563,巧新,136000,17000,1818000,43.45
20260302,1565,精華,12000,0,952000,110
20260302,1568,倉佑,0,0,529000,22.5
20260302,1569,濱川,0,19000,9036000,57.5
20260302,1570,力肯,0,0,338000,30.85
20260302,1580,新麥,0,0,139000,131
20260302,1582,信錦,33000,52000,5895000,75.2
20260302,1583,程泰,0,3000,45000,48.95
